Movie Name,Address,Rating,Year,Date,Closed Captioning,Zip,Park Name
Ghostbusters (1984),"7327, North Rogers Avenue, Jarvis Square, Rogers Park, Chicago, Rogers Park Township, Cook County, Illinois, 60626, United States",PG,2019,2019-06-14,Y,0,Pottawattomie Park
Aquaman,"11529, South Avenue L, East Side, Chicago, Hyde Park Township, Cook County, Illinois, 60617, United States",PG-13,2019,2019-06-29,Y,0,Rowan Park
Ralph Breaks the Internet,"1633, North Maplewood Avenue, West Town, Chicago, West Chicago Township, Cook County, Illinois, 60647, United States",PG,2019,2019-08-02,Y,0,Maplewood Playlot Park
Smallfoot,"Heritage Green Park, 610-630, West Loop Gate, Near West Side, Chicago, West Chicago Township, Cook County, Illinois, 60661, United States",PG,2019,2019-08-07,Y,0,Heritage Green
Spider-Man: Into the Spider-Verse,"Hayes Park Fieldhouse, 2936, West 85th Street, Mitchells Subdivision, Ashburn, Chicago, Lake Township, Cook County, Illinois, 60652, United States",PG,2019,2019-08-14,Y,0,Hayes Park
Trinity Goodheart,"DuSable Black History Museum and Education Center, 740, East Administration Drive, Washington Park, Chicago, Hyde Park Township, Cook County, Illinois, 60637, United States",NR,2019,2019-08-17,Y,0,DuSable Museum of African American History
Wonder,"Ravenswood Manor Child Care, 2758, West Montrose Avenue, Irving Park, Chicago, Jefferson Township, Cook County, Illinois, 60618, United States",PG,2019,2019-06-26,Y,0,Horner Park
Ralph Breaks the Internet,"Randolph & Columbus, East Randolph Drive, New East Side, Loop, Chicago, South Chicago Township, Cook County, Illinois, 60603, United States",PG,2019,2019-06-20,Y,0,Maggie Daley Park
Cabaret,"Congregation Rodfei Zedek, 5200, South Hyde Park Boulevard, East Hyde Park, Hyde Park, Chicago, Hyde Park Township, Cook County, Illinois, 60615, United States",PG,2019,2019-06-24,Y,0,Harold Washington Playlot Park
Avengers: Infinity War,"Chicago, IL",PG-13,2019,2019-06-20,Y,0,McKiernan Playground Park
Dirty Dancing,"4105, North Long Avenue, Portage Park, Chicago, Jefferson Township, Cook County, Illinois, 60630, United States",PG-13,2019,2019-06-28,Y,0,Portage Park
Night School,"360, East 90th Place, Chesterfield, Chatham, Chicago, Hyde Park Township, Cook County, Illinois, 60619, United States",PG-13,2019,2019-06-15,Y,0,Tuley Park
Avengers: Infinity War,"North Kilbourn Avenue, Central Park, West Garfield Park, Chicago, West Chicago Township, Cook County, Illinois, 60624, United States",PG-13,2019,2019-08-16,Y,0,Tilton Park
Spider-Man: Into the Spider-Verse,"Haas Park Fieldhouse, 2402, North Washtenaw Avenue, Maplewood, Logan Square, Chicago, West Chicago Township, Cook County, Illinois, 60647, United States",PG,2019,2019-07-22,Y,0,Haas Park
Come Drink With Me,"McCutcheon Elementary School, 4865, North Sheridan Road, Margate Park, Uptown, Chicago, Lake View Township, Cook County, Illinois, 60640, United States",NR,2019,2019-07-27,N,0,Buttercup Playlot Park
Wonder,"Gill Park Fieldhouse, 825, West Sheridan Road, Wrigleyville, Lake View, Chicago, Lake View Township, Cook County, Illinois, 60613, United States",PG,2019,2019-08-21,Y,0,Gill Park
A Wrinkle in Time,"9359, South Greenwood Avenue, Burnside, Chicago, Hyde Park Township, Cook County, Illinois, 60619, United States",PG,2019,2019-08-08,Y,0,Burnside Park
Grease,"Logan Monument, Chicago, IL",PG,2019,2019-08-19,Y,0,Grant Park: Logan Monument
Alice in Wonderland,"2639-2641, West Peterson Avenue, Arcadia Terrace, West Ridge, Chicago, Jefferson Township, Cook County, Illinois, 60659, United States",G,2019,2019-06-19,Y,0,Green Briar Park
Mary Poppins Returns,"2707, West Lawrence Avenue, West Ravenswood, Lincoln Square, Chicago, Jefferson Township, Cook County, Illinois, 60625, United States",PG,2019,2019-06-27,Y,0,Gross Park
Cars (2006),"Beverly Park Fieldhouse, 2460, West 102nd Street, Beverly, Chicago, Lake Township, Cook County, Illinois, 60643, United States",G,2019,2019-07-16,Y,0,Beverly Park
Coco,"West Lawn Park Fieldhouse, 4233, West 65th Street, West Lawn, Chicago, Lake Township, Cook County, Illinois, 60629, United States",PG,2019,2019-08-06,Y,0,West Lawn Park
The Incredibles 2,"The Spoke & Bird, 205, East 18th Street, Near South Side, Chicago, South Chicago Township, Cook County, Illinois, 60616, United States",PG,2019,2019-06-30,Y,0,Chicago Women's Park and Gardens
